judul_film,tahun_film,durasi_film,batas_usia,sinopsis_film,rating_film,jumlah_perating
1. Harry Potter and the Sorcerer's Stone,2001,2h 32m,PG,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",7.6,(870K)
2. Once Upon a Time... in Hollywood,2019,2h 41m,R,"As Hollywood's Golden Age is winding down during the summer of 1969, television actor Rick Dalton and his stunt double Cliff Booth endeavor to achieve lasting success in Hollywood while meeting several colorful characters along the way.",7.6,(870K)
3. 3:10 to Yuma,2007,2h 2m,R,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,7.6,(335K)
4. Deadpool 2,2018,1h 59m,R,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with abilities from the brutal, time-traveling cyborg Cable.",7.6,(682K)
5. 300,2006,1h 57m,R,"In the ancient battle of Thermopylae, King Leonidas and 300 Spartans fight against Xerxes and his massive Persian army.",7.6,(874K)
6. The Fifth Element,1997,2h 6m,PG-13,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",7.6,(514K)
7. Watchmen,2009,2h 42m,R,"In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history.",7.6,(589K)
8. The Whale,2022,1h 57m,R,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter.",7.6,(222K)
9. Saw,2004,1h 43m,R,"Two men awaken to find themselves on the opposite sides of a dead body, each with specific instructions to kill the other or face consequences. These two are the latest victims of the Jigsaw Killer.",7.6,(475K)
10. Aftersun,2022,1h 42m,R,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...,7.6,(101K)
11. My Cousin Vinny,1992,2h,R,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",7.6,(144K)
12. Star Wars: Episode III - Revenge of the Sith,2005,2h 20m,PG-13,"Three years into the Clone Wars, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot to rule the galaxy.",7.6,(859K)
13. The Others,2001,1h 44m,PG-13,"In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted.",7.6,(399K)
14. Office Space,1999,1h 29m,R,Three company workers who hate their jobs decide to rebel against their greedy boss.,7.6,(292K)
15. RoboCop,1987,1h 42m,R,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",7.6,(289K)
16. Dark Waters,2019,2h 6m,PG-13,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,7.6,(109K)
17. Stardust,2007,2h 7m,PG-13,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",7.6,(288K)
18. The Last of the Mohicans,1992,1h 52m,R,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,7.6,(191K)
19. Hell or High Water,2016,1h 42m,R,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch.",7.6,(257K)
20. Moneyball,2011,2h 13m,PG-13,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,7.6,(473K)
21. Minority Report,2002,2h 25m,PG-13,"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder.",7.6,(591K)
22. The Butterfly Effect,2004,1h 53m,R,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",7.6,(528K)
23. The Blind Side,2009,2h 9m,PG-13,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",7.6,(365K)
24. I Am Sam,2001,2h 12m,PG-13,An intellectually disabled man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,7.6,(156K)
25. The Machinist,2004,1h 41m,R,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,7.6,(420K)
26. Kung Fu Panda,2008,1h 32m,PG,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",7.6,(533K)
27. True Grit,2010,1h 50m,PG-13,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,7.6,(361K)
28. Gone Baby Gone,2007,1h 54m,R,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",7.6,(297K)
29. What We Do in the Shadows,2014,1h 26m,R,"Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts.",7.6,(203K)
30. End of Watch,2012,1h 49m,R,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends and what happens when they meet criminal forces greater than themselves.",7.6,(273K)
31. Midnight in Paris,2011,1h 34m,PG-13,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",7.6,(454K)
32. The Birds,1963,1h 59m,PG-13,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,7.6,(208K)
33. The Boondock Saints,1999,1h 48m,R,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,7.6,(253K)
34. The Thin Red Line,1998,2h 50m,R,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",7.6,(202K)
35. After Hours,1985,1h 37m,R,"Ordinary word processor Paul Hackett experiences the worst night of his life after he agrees to visit Marcy, a Soho resident that he met that evening at a coffee shop.",7.6,(84K)
36. The Raid: Redemption,2011,1h 41m,R,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,7.6,(219K)
37. The Mitchells vs. the Machines,2021,1h 54m,PG,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",7.6,(130K)
38. Ponyo,2008,1h 41m,G,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",7.6,(168K)
39. The Last King of Scotland,2006,2h 3m,R,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,7.6,(198K)
40. Belle de Jour,1967,1h 40m,Approved,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,7.6,(50K)
41. Rushmore,1998,1h 33m,R,"A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta.",7.6,(200K)
42. 21 Grams,2003,2h 4m,R,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",7.6,(247K)
43. Run Lola Run,1998,1h 20m,R,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",7.6,(210K)
44. The Bridges of Madison County,1995,2h 15m,PG-13,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,7.6,(90K)
45. Rebel Without a Cause,1955,1h 51m,PG-13,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",7.6,(99K)
46. 50/50,2011,1h 40m,R,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",7.6,(345K)
47. Barton Fink,1991,1h 56m,R,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,7.6,(130K)
48. Short Cuts,1993,3h 8m,R,The day-to-day lives of several suburban Los Angeles residents.,7.6,(48K)
49. The Little Prince,2015,1h 48m,PG,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.",7.6,(67K)
50. Control,2007,2h 2m,R,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to die by suicide at the age of 23.",7.6,(69K)
51. Philomena,2013,1h 38m,PG-13,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",7.6,(104K)
52. Inside Out 2,2024,1h 36m,PG,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",7.7,(129K)
53. The Goonies,1985,1h 54m,PG,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,7.7,(303K)
54. Mission: Impossible - Dead Reckoning Part One,2023,2h 43m,PG-13,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,7.7,(264K)
55. Kingsman: The Secret Service,2014,2h 9m,R,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",7.7,(731K)
